Country,Hydro(TWh),Biofuel(TWh),Solar PV (TWh),Geothermal (TWh),Total (TWh)
China,1189.84,295.02,79.43,0.125,1819.94
USA,315.62,277.91,58.95,18.96,758.619
Brazil,370.9,42.37,52.25,0,466.35
Canada,383.48,29.65,7.12,0,424.09
India,141.8,51.06,43.76,0,262.65
Germany,24.17,111.59,45.1,0.16,227.18
Russia,187.13,0.14,0.08,0.43,188.33
Japan,90.67,7.63,19.01,2.44,187.349
France,70.13,28.5,5.87,0.13,114.82
Italy,50.92,17.49,16.85,6.08,113.99
UK,7.96,57.11,32.08,0,110.07
Spain,36.74,50.81,5.48,0,100.54
Turkey,59.74,19.88,2.63,6.9,96.62
Mexico,32.52,13.07,1.88,5.36,56.02
Australia,16.02,15.17,3.51,0,44.62
Indonesia,18.63,0.0006,0.23,12.76,41.6406
Thailand,9.52,1.1,15.38,0.0001,30.5401
South Korea,7.28,2.46,6.82,0,25.32
Iran,15.05,0.3,0.02,0,15.45
Taiwan,8.87,1.73,0.11,0,12.4